Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Toronto, Canada","Santiago, Chile",800-1500 USD,Rainy,April,8618.25,Male,Hotel,['Spanish'],Couple
"Sydney, Australia","Nairobi, Kenya",800-1500 USD,Rainy,May,12152.19,Male,GuestHouse,"['Swahili', 'English']",Friends
"Seoul, South Korea","Lisbon, Portugal",800-1500 USD,Cloudy,February,10417.76,Male,Airbnb,['Portuguese'],Family
"Hanoi, Vietnam","Vienna, Austria",1500-3000 USD,Rainy,May,8244.73,Female,Hotel,['German'],Solo
"Dubai, UAE","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,5154.72,Female,Airbnb,"['Dutch', 'English']",Couple
"Istanbul, Turkey","Cairo, Egypt",500-800 USD,Hot,July,1235.98,Male,Hotel,"['Arabic', 'English']",Couple
"Sydney, Australia","Seoul, South Korea",1500-3000 USD,Rainy,August,8329.26,Female,GuestHouse,['Korean'],Friends
"Los Angeles, USA","Mumbai, India",800-1500 USD,Sunny,March,13991.18,Male,GuestHouse,"['Hindi', 'English']",Family
"Bangkok, Thailand","Hanoi, Vietnam",500-800 USD,Humid,August,987.86,Female,Hotel,['Vietnamese'],Family
"Dubai, UAE","Los Angeles, USA",1500-3000 USD,Cloudy,April,13382.8,Male,Hotel,"['English', 'Spanish']",Couple
"Paris, France","Sydney, Australia",1500-3000 USD,Cloudy,July,16960.5,Male,Hotel,['English'],Couple
"Lisbon, Portugal","Barcelona, Spain",1500-3000 USD,Rainy,December,1006.48,Male,GuestHouse,"['Spanish', 'Catalan']",Solo
"London, UK","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,357.89,Male,GuestHouse,"['Dutch', 'English']",Couple
"Mexico City, Mexico","New York, USA",1500-3000 USD,Cloudy,December,3359.38,Female,Hotel,"['English', 'Spanish']",Couple
"Lisbon, Portugal","Moscow, Russia",800-1500 USD,Rainy,August,3905.89,Female,GuestHouse,['Russian'],Colleagues
"Tokyo, Japan","Seoul, South Korea",1500-3000 USD,Cold,January,1149.36,Female,Hotel,['Korean'],Friends
"Mexico City, Mexico",Singapore,1500-3000 USD,Humid,May,16606.7,Male,GuestHouse,"['English', 'Mandarin']",Couple
"Los Angeles, USA","Santiago, Chile",800-1500 USD,Sunny,January,8998.38,Female,Hotel,['Spanish'],Friends
"Amsterdam, Netherlands","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,9576.96,Female,Hotel,['Portuguese'],Couple
"Istanbul, Turkey","Bangkok, Thailand",500-800 USD,Rainy,October,7466.72,Male,Hotel,"['Thai', 'English']",Couple
"Barcelona, Spain","Mexico City, Mexico",800-1500 USD,Cold,December,9489.44,Male,Airbnb,['Spanish'],Couple
"Kuala Lumpur, Malaysia","London, UK",1500-3000 USD,Cloudy,November,10545.82,Male,Hotel,['English'],Family
"Hanoi, Vietnam","Tokyo, Japan",1500-3000 USD,Humid,August,3661.18,Female,Hotel,['Japanese'],Solo
"Moscow, Russia","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,8126.61,Male,GuestHouse,"['Malay', 'English']",Solo
"Tokyo, Japan","Paris, France",1500-3000 USD,Rainy,March,9711.72,Female,Hotel,['French'],Friends
"Budapest, Hungary","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,9987.41,Female,Airbnb,['Portuguese'],Couple
"Dubai, UAE","Rome, Italy",1500-3000 USD,Rainy,December,4317.89,Male,Airbnb,['Italian'],Friends
"Budapest, Hungary","Istanbul, Turkey",800-1500 USD,Cold,January,1069.54,Female,Airbnb,['Turkish'],Friends
"Seoul, South Korea","Vienna, Austria",1500-3000 USD,Sunny,July,8274.57,Male,GuestHouse,['German'],Solo
"Mexico City, Mexico","New York, USA",1500-3000 USD,Sunny,August,3359.38,Male,GuestHouse,"['English', 'Spanish']",Colleagues
"Budapest, Hungary","New York, USA",1500-3000 USD,Sunny,June,7007.56,Male,Airbnb,"['English', 'Spanish']",Family
"Cape Town, South Africa","Dubai, UAE",1500-3000 USD,Hot,August,7648.11,Female,Airbnb,"['Arabic', 'English']",Family
"Moscow, Russia","Berlin, Germany",1500-3000 USD,Snowy,December,1608.83,Male,GuestHouse,"['German', 'English']",Friends
"Berlin, Germany","Mumbai, India",800-1500 USD,Sunny,March,6286.15,Female,Hotel,"['Hindi', 'English']",Couple
"Dubai, UAE",Singapore,1500-3000 USD,Sunny,February,5837.37,Male,GuestHouse,"['English', 'Mandarin']",Couple
"Amsterdam, Netherlands","Sydney, Australia",1500-3000 USD,Sunny,January,16642.9,Female,Airbnb,['English'],Couple
"Barcelona, Spain","Cape Town, South Africa",800-1500 USD,Sunny,December,8537.38,Male,Hotel,"['English', 'Afrikaans', 'Xhosa']",Family
"Paris, France","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,9167.42,Male,Hotel,['Portuguese'],Couple
"Buenos Aires, Argentina","Cairo, Egypt",500-800 USD,Sunny,October,11812.74,Female,Airbnb,"['Arabic', 'English']",Couple
"Barcelona, Spain","Sydney, Australia",1500-3000 USD,Rainy,April,17180.25,Female,GuestHouse,['English'],Friends
"Budapest, Hungary","Cairo, Egypt",500-800 USD,Windy,April,2203.89,Female,Hotel,"['Arabic', 'English']",Family
"New York, USA","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,15119.36,Female,GuestHouse,"['Malay', 'English']",Solo
"Seoul, South Korea","Sydney, Australia",1500-3000 USD,Sunny,January,8329.26,Female,GuestHouse,['English'],Couple
"Nairobi, Kenya",Singapore,1500-3000 USD,Rainy,December,7455.45,Female,Hotel,"['English', 'Mandarin']",Couple
"Istanbul, Turkey","Bangkok, Thailand",500-800 USD,Sunny,November,7466.72,Male,Airbnb,"['Thai', 'English']",Solo
"Rio de Janeiro, Brazil","Berlin, Germany",1500-3000 USD,Sunny,June,10008.55,Male,Airbnb,"['German', 'English']",Friends
"Istanbul, Turkey","Nairobi, Kenya",800-1500 USD,Humid,March,4769.31,Female,GuestHouse,"['Swahili', 'English']",Solo
"Bangkok, Thailand","Hanoi, Vietnam",500-800 USD,Rainy,June,987.86,Female,Hotel,['Vietnamese'],Friends
"Nairobi, Kenya","Cape Town, South Africa",800-1500 USD,Windy,October,4102.81,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Family
"Amsterdam, Netherlands","Budapest, Hungary",800-1500 USD,Sunny,June,1144.83,Male,GuestHouse,['Hungarian'],Family
"Los Angeles, USA","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,14136.95,Female,GuestHouse,"['Malay', 'English']",Friends
"Lisbon, Portugal","Dubai, UAE",1500-3000 USD,Rainy,December,6131.54,Female,GuestHouse,"['Arabic', 'English']",Family
"Istanbul, Turkey","Dubai, UAE",1500-3000 USD,Hot,August,2990.88,Female,Hotel,"['Arabic', 'English']",Couple
"Amsterdam, Netherlands","Istanbul, Turkey",800-1500 USD,Sunny,June,2211.95,Female,Airbnb,['Turkish'],Family
"Sydney, Australia","Hanoi, Vietnam",500-800 USD,Sunny,March,7765.88,Male,GuestHouse,['Vietnamese'],Family
"Moscow, Russia","Rome, Italy",1500-3000 USD,Rainy,December,2375.33,Female,GuestHouse,['Italian'],Friends
"Nairobi, Kenya","Santiago, Chile",800-1500 USD,Cold,July,11540.35,Female,Airbnb,['Spanish'],Friends
"Lisbon, Portugal","Tokyo, Japan",1500-3000 USD,Sunny,July,11142.61,Female,GuestHouse,['Japanese'],Couple
"Lisbon, Portugal","Santiago, Chile",800-1500 USD,Sunny,January,10227.26,Female,Airbnb,['Spanish'],Friends
"Rio de Janeiro, Brazil","Paris, France",1500-3000 USD,Cloudy,November,9167.42,Male,Hotel,['French'],Friends
"Hanoi, Vietnam","Lisbon, Portugal",800-1500 USD,Sunny,June,10538.36,Male,Hotel,['Portuguese'],Family
"Tokyo, Japan","Nairobi, Kenya",800-1500 USD,Sunny,January,11247.99,Male,Airbnb,"['Swahili', 'English']",Couple
"Tokyo, Japan","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,18569.25,Female,Airbnb,['Portuguese'],Solo
"Rome, Italy","Seoul, South Korea",1500-3000 USD,Cold,January,8966.28,Female,Hotel,['Korean'],Family
"Cape Town, South Africa","Tokyo, Japan",1500-3000 USD,Cloudy,November,14727.59,Female,Airbnb,['Japanese'],Friends
"Mumbai, India","Moscow, Russia",800-1500 USD,Cold,January,5027.96,Male,Hotel,['Russian'],Family
"Cairo, Egypt","Paris, France",1500-3000 USD,Cloudy,December,3210.01,Female,Airbnb,['French'],Couple
"Dubai, UAE","Moscow, Russia",800-1500 USD,Rainy,August,3679.77,Female,GuestHouse,['Russian'],Couple
"Barcelona, Spain","Berlin, Germany",1500-3000 USD,Rainy,April,1499.45,Male,GuestHouse,"['German', 'English']",Solo
"Bangkok, Thailand","New York, USA",1500-3000 USD,Snowy,February,13931.98,Female,Hotel,"['English', 'Spanish']",Family
"Buenos Aires, Argentina","Sydney, Australia",1500-3000 USD,Sunny,February,11801.07,Male,Hotel,['English'],Friends
"Berlin, Germany","Buenos Aires, Argentina",800-1500 USD,Cold,July,11909.52,Male,Airbnb,['Spanish'],Family
"Amsterdam, Netherlands","Toronto, Canada",1500-3000 USD,Sunny,August,5979.92,Male,Airbnb,"['English', 'French']",Family
"Mumbai, India","Budapest, Hungary",800-1500 USD,Rainy,May,5765.44,Female,GuestHouse,['Hungarian'],Family
"Sydney, Australia","Tokyo, Japan",1500-3000 USD,Sunny,June,7825.82,Female,Hotel,['Japanese'],Solo
"Budapest, Hungary","Paris, France",1500-3000 USD,Cloudy,December,1244.01,Female,Hotel,['French'],Family
"Cairo, Egypt","Moscow, Russia",800-1500 USD,Rainy,September,2902.99,Male,Airbnb,['Russian'],Couple
"New York, USA","Rome, Italy",1500-3000 USD,Sunny,August,6889.94,Male,GuestHouse,['Italian'],Couple
"Buenos Aires, Argentina","Cape Town, South Africa",800-1500 USD,Sunny,December,6869.75,Male,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Couple
"Mumbai, India","Berlin, Germany",1500-3000 USD,Snowy,January,6286.15,Female,GuestHouse,"['German', 'English']",Solo
"Lisbon, Portugal","Rome, Italy",1500-3000 USD,Sunny,August,1863.0,Female,Hotel,['Italian'],Couple
"Tokyo, Japan",Singapore,1500-3000 USD,Sunny,February,5311.22,Male,Airbnb,"['English', 'Mandarin']",Couple
"Rome, Italy","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9707.54,Female,Airbnb,"['Malay', 'English']",Couple
"Tokyo, Japan","Mumbai, India",800-1500 USD,Sunny,February,6720.31,Male,GuestHouse,"['Hindi', 'English']",Couple
"Hanoi, Vietnam","Bangkok, Thailand",500-800 USD,Sunny,November,987.86,Male,Hotel,"['Thai', 'English']",Solo
"Istanbul, Turkey","Los Angeles, USA",1500-3000 USD,Sunny,June,11020.01,Male,GuestHouse,"['English', 'Spanish']",Couple
"Rome, Italy",Singapore,1500-3000 USD,Humid,May,10016.63,Male,Hotel,"['English', 'Mandarin']",Friends
"Paris, France","Mexico City, Mexico",800-1500 USD,Cold,January,9196.25,Male,Hotel,['Spanish'],Solo
"Budapest, Hungary","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9198.09,Female,Airbnb,"['Malay', 'English']",Solo
"Vienna, Austria","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9400.11,Female,Airbnb,"['Malay', 'English']",Couple
"Cairo, Egypt","Cape Town, South Africa",800-1500 USD,Windy,October,7239.25,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Couple
"Istanbul, Turkey","Lisbon, Portugal",800-1500 USD,Sunny,June,3237.35,Male,Hotel,['Portuguese'],Friends
"Kuala Lumpur, Malaysia","Hanoi, Vietnam",500-800 USD,Humid,July,2039.71,Male,Airbnb,['Vietnamese'],Family
"Rio de Janeiro, Brazil","Berlin, Germany",1500-3000 USD,Rainy,May,10008.55,Male,GuestHouse,"['German', 'English']",Friends
"Bangkok, Thailand","Nairobi, Kenya",800-1500 USD,Humid,March,7209.87,Male,Airbnb,"['Swahili', 'English']",Friends
"Barcelona, Spain","Paris, France",1500-3000 USD,Rainy,April,830.91,Male,GuestHouse,['French'],Solo
"Paris, France","Los Angeles, USA",1500-3000 USD,Sunny,August,9085.51,Male,Hotel,"['English', 'Spanish']",Friends
"Amsterdam, Netherlands","Paris, France",1500-3000 USD,Sunny,June,429.86,Female,Hotel,['French'],Family
"Santiago, Chile",Singapore,1500-3000 USD,Sunny,February,16400.12,Female,Hotel,"['English', 'Mandarin']",Couple
"Nairobi, Kenya","Cairo, Egypt",500-800 USD,Sunny,November,3533.78,Male,Hotel,"['Arabic', 'English']",Family
"Seoul, South Korea","Barcelona, Spain",1500-3000 USD,Sunny,July,9601.93,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Kuala Lumpur, Malaysia",Singapore,1500-3000 USD,Sunny,February,309.25,Male,Airbnb,"['English', 'Mandarin']",Colleagues
"Mumbai, India","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,6852.37,Male,Airbnb,"['Dutch', 'English']",Couple
"Mexico City, Mexico","Moscow, Russia",800-1500 USD,Sunny,July,10719.39,Female,Airbnb,['Russian'],Couple
"Rome, Italy","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,1295.95,Male,GuestHouse,"['Dutch', 'English']",Friends
"Cape Town, South Africa","Buenos Aires, Argentina",800-1500 USD,Rainy,March,6869.75,Male,Airbnb,['Spanish'],Couple
"Nairobi, Kenya","Dubai, UAE",1500-3000 USD,Hot,August,3560.88,Female,Hotel,"['Arabic', 'English']",Colleagues
"Istanbul, Turkey","Vienna, Austria",1500-3000 USD,Rainy,May,1276.51,Female,Hotel,['German'],Solo
Singapore,"Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,10491.68,Female,GuestHouse,"['Dutch', 'English']",Solo
"Seoul, South Korea","Sydney, Australia",1500-3000 USD,Cloudy,June,8329.26,Male,Airbnb,['English'],Friends
"Nairobi, Kenya","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,6668.81,Male,GuestHouse,"['Dutch', 'English']",Couple
"Vienna, Austria","Toronto, Canada",1500-3000 USD,Snowy,January,6914.97,Male,Airbnb,"['English', 'French']",Friends
"Lisbon, Portugal","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,11569.47,Female,Airbnb,"['Malay', 'English']",Solo
"London, UK","Vienna, Austria",1500-3000 USD,Cold,December,1235.41,Female,Airbnb,['German'],Solo
"Amsterdam, Netherlands","Cairo, Egypt",500-800 USD,Windy,April,3282.08,Male,GuestHouse,"['Arabic', 'English']",Family
"Paris, France",Singapore,1500-3000 USD,Humid,April,10729.02,Female,Airbnb,"['English', 'Mandarin']",Colleagues
"Mumbai, India",Singapore,1500-3000 USD,Sunny,February,3903.78,Male,Hotel,"['English', 'Mandarin']",Colleagues
"New York, USA","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,7759.04,Female,GuestHouse,['Portuguese'],Couple
"Sydney, Australia","Lisbon, Portugal",800-1500 USD,Sunny,July,18177.32,Male,Hotel,['Portuguese'],Couple
"Tokyo, Japan","Moscow, Russia",800-1500 USD,Rainy,September,7477.2,Female,Hotel,['Russian'],Colleagues
"Vienna, Austria","Hanoi, Vietnam",500-800 USD,Sunny,February,8244.73,Female,Hotel,['Vietnamese'],Friends
"Hanoi, Vietnam","New York, USA",1500-3000 USD,Snowy,January,13149.75,Female,Hotel,"['English', 'Spanish']",Colleagues
"Cape Town, South Africa","Dubai, UAE",1500-3000 USD,Sunny,November,7648.11,Male,GuestHouse,"['Arabic', 'English']",Colleagues
"Seoul, South Korea","Bangkok, Thailand",500-800 USD,Humid,July,3722.1,Female,GuestHouse,"['Thai', 'English']",Couple
"Bangkok, Thailand","Sydney, Australia",1500-3000 USD,Rainy,March,7536.41,Male,Hotel,['English'],Couple
"Mexico City, Mexico","Hanoi, Vietnam",500-800 USD,Sunny,February,14758.15,Male,GuestHouse,['Vietnamese'],Family
"Vienna, Austria","Sydney, Australia",1500-3000 USD,Rainy,April,15975.72,Female,Hotel,['English'],Couple
"Hanoi, Vietnam","Lisbon, Portugal",800-1500 USD,Cloudy,January,10538.36,Male,Hotel,['Portuguese'],Couple
"Hanoi, Vietnam","Seoul, South Korea",1500-3000 USD,Cold,January,2740.3,Female,GuestHouse,['Korean'],Couple
"New York, USA","Vienna, Austria",1500-3000 USD,Rainy,April,6796.33,Female,Hotel,['German'],Couple
"Santiago, Chile","Berlin, Germany",1500-3000 USD,Snowy,January,12525.36,Male,GuestHouse,"['German', 'English']",Friends
"London, UK","Nairobi, Kenya",800-1500 USD,Rainy,May,6819.73,Male,GuestHouse,"['Swahili', 'English']",Couple
"Lisbon, Portugal","Vienna, Austria",1500-3000 USD,Rainy,April,2298.46,Male,Hotel,['German'],Couple
"Istanbul, Turkey","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,10277.43,Male,GuestHouse,['Portuguese'],Couple
"London, UK","Santiago, Chile",800-1500 USD,Rainy,April,11672.78,Female,Airbnb,['Spanish'],Friends
"Tokyo, Japan","Rome, Italy",1500-3000 USD,Sunny,August,9852.38,Female,GuestHouse,['Italian'],Family
"Moscow, Russia","Lisbon, Portugal",800-1500 USD,Cloudy,January,3905.89,Female,GuestHouse,['Portuguese'],Couple
"Seoul, South Korea","Istanbul, Turkey",800-1500 USD,Sunny,May,7953.75,Male,Airbnb,['Turkish'],Couple
"New York, USA","Vienna, Austria",1500-3000 USD,Sunny,July,6796.33,Male,Hotel,['German'],Couple
"Istanbul, Turkey","Toronto, Canada",1500-3000 USD,Sunny,July,8191.15,Female,GuestHouse,"['English', 'French']",Couple
"Hanoi, Vietnam","Amsterdam, Netherlands",1500-3000 USD,Rainy,December,8880.93,Male,Hotel,"['Dutch', 'English']",Solo
"Seoul, South Korea","Tokyo, Japan",1500-3000 USD,Cloudy,November,1149.36,Female,GuestHouse,['Japanese'],Couple
"Toronto, Canada","Mumbai, India",800-1500 USD,Dry,November,12487.09,Male,Airbnb,"['Hindi', 'English']",Couple
"Paris, France","Rome, Italy",1500-3000 USD,Rainy,December,1105.28,Male,Hotel,['Italian'],Couple
"Hanoi, Vietnam","Mexico City, Mexico",800-1500 USD,Sunny,April,14758.15,Male,GuestHouse,['Spanish'],Friends
"Hanoi, Vietnam","Los Angeles, USA",1500-3000 USD,Rainy,January,12315.95,Male,GuestHouse,"['English', 'Spanish']",Couple
"Cape Town, South Africa","Vienna, Austria",1500-3000 USD,Rainy,May,9135.06,Male,Airbnb,['German'],Couple
"Cairo, Egypt","Hanoi, Vietnam",500-800 USD,Humid,August,7427.62,Female,Airbnb,['Vietnamese'],Friends
"London, UK","Sydney, Australia",1500-3000 USD,Sunny,January,16993.93,Male,Hotel,['English'],Friends
"Dubai, UAE","Moscow, Russia",800-1500 USD,Sunny,July,3679.77,Male,Airbnb,['Russian'],Family
"Seoul, South Korea","Berlin, Germany",1500-3000 USD,Rainy,May,8126.78,Female,Airbnb,"['German', 'English']",Couple
"Budapest, Hungary","Paris, France",1500-3000 USD,Cloudy,December,1244.01,Male,Hotel,['French'],Solo
"Hanoi, Vietnam","Seoul, South Korea",1500-3000 USD,Rainy,July,2740.3,Male,GuestHouse,['Korean'],Friends
"Istanbul, Turkey","Cairo, Egypt",500-800 USD,Hot,August,1235.98,Male,GuestHouse,"['Arabic', 'English']",Family
"Rio de Janeiro, Brazil","Cape Town, South Africa",800-1500 USD,Windy,October,6059.33,Male,Hotel,"['English', 'Afrikaans', 'Xhosa']",Solo
"Kuala Lumpur, Malaysia","Rome, Italy",1500-3000 USD,Rainy,December,9707.54,Male,Hotel,['Italian'],Friends
"Paris, France","Mumbai, India",800-1500 USD,Dry,November,7009.33,Female,GuestHouse,"['Hindi', 'English']",Family
"Hanoi, Vietnam","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,16820.07,Female,GuestHouse,['Portuguese'],Friends
"Vienna, Austria","Moscow, Russia",800-1500 USD,Sunny,July,1669.7,Female,GuestHouse,['Russian'],Colleagues
"Bangkok, Thailand","Hanoi, Vietnam",500-800 USD,Humid,August,987.86,Male,Airbnb,['Vietnamese'],Friends
"Dubai, UAE","Santiago, Chile",800-1500 USD,Rainy,April,14758.23,Male,GuestHouse,['Spanish'],Couple
"Paris, France","Toronto, Canada",1500-3000 USD,Snowy,February,5998.56,Female,GuestHouse,"['English', 'French']",Family
"Bangkok, Thailand","New York, USA",1500-3000 USD,Rainy,May,13931.98,Male,Airbnb,"['English', 'Spanish']",Friends
"Vienna, Austria","Lisbon, Portugal",800-1500 USD,Rainy,October,2298.46,Female,Hotel,['Portuguese'],Family
"Vienna, Austria","Hanoi, Vietnam",500-800 USD,Sunny,February,8244.73,Female,Airbnb,['Vietnamese'],Couple
"Hanoi, Vietnam","Nairobi, Kenya",800-1500 USD,Rainy,April,7893.29,Female,GuestHouse,"['Swahili', 'English']",Friends
"New York, USA","Lisbon, Portugal",800-1500 USD,Sunny,June,5422.03,Male,Hotel,['Portuguese'],Family
"Bangkok, Thailand","Toronto, Canada",1500-3000 USD,Sunny,August,13631.67,Male,Hotel,"['English', 'French']",Family
"Bangkok, Thailand","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,16059.83,Male,Airbnb,['Portuguese'],Friends
"Rio de Janeiro, Brazil","Vienna, Austria",1500-3000 USD,Cold,January,9874.18,Female,GuestHouse,['German'],Solo
"Buenos Aires, Argentina","Berlin, Germany",1500-3000 USD,Rainy,May,11909.52,Female,Airbnb,"['German', 'English']",Solo
"Budapest, Hungary","Los Angeles, USA",1500-3000 USD,Sunny,August,9997.68,Male,GuestHouse,"['English', 'Spanish']",Solo
"Moscow, Russia","Istanbul, Turkey",800-1500 USD,Cold,January,1756.39,Male,Hotel,['Turkish'],Family
"Mexico City, Mexico",Singapore,1500-3000 USD,Sunny,February,16606.7,Female,Hotel,"['English', 'Mandarin']",Friends
"Mexico City, Mexico","Dubai, UAE",1500-3000 USD,Rainy,December,14326.45,Male,GuestHouse,"['Arabic', 'English']",Couple
"Cape Town, South Africa","Nairobi, Kenya",800-1500 USD,Humid,March,4102.81,Male,GuestHouse,"['Swahili', 'English']",Friends
"Tokyo, Japan","Toronto, Canada",1500-3000 USD,Rainy,May,10353.22,Male,Airbnb,"['English', 'French']",Friends
"Mexico City, Mexico","Santiago, Chile",800-1500 USD,Cold,July,6610.1,Female,Airbnb,['Spanish'],Friends
"Istanbul, Turkey","Bangkok, Thailand",500-800 USD,Rainy,October,7466.72,Female,Airbnb,"['Thai', 'English']",Solo
"Los Angeles, USA","Sydney, Australia",1500-3000 USD,Cloudy,June,12073.51,Female,GuestHouse,['English'],Friends
"Tokyo, Japan","Buenos Aires, Argentina",800-1500 USD,Rainy,March,18373.43,Female,GuestHouse,['Spanish'],Couple
"Rome, Italy","Buenos Aires, Argentina",800-1500 USD,Cold,August,11151.54,Male,Airbnb,['Spanish'],Family
"Rome, Italy","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,9198.22,Male,GuestHouse,['Portuguese'],Friends
"Barcelona, Spain","Vienna, Austria",1500-3000 USD,Cold,January,1349.83,Male,GuestHouse,['German'],Solo
"Rio de Janeiro, Brazil","New York, USA",1500-3000 USD,Cloudy,November,7759.04,Female,GuestHouse,"['English', 'Spanish']",Friends
"Tokyo, Japan","Berlin, Germany",1500-3000 USD,Sunny,July,8915.53,Female,Airbnb,"['German', 'English']",Solo
"Moscow, Russia","Tokyo, Japan",1500-3000 USD,Cloudy,November,7477.2,Female,Hotel,['Japanese'],Solo
"London, UK","Hanoi, Vietnam",500-800 USD,Sunny,March,9235.44,Female,Airbnb,['Vietnamese'],Family
"Cape Town, South Africa","Tokyo, Japan",1500-3000 USD,Sunny,July,14727.59,Female,Hotel,['Japanese'],Couple
"Sydney, Australia","Paris, France",1500-3000 USD,Rainy,April,16960.5,Female,GuestHouse,['French'],Friends
"Mexico City, Mexico","Moscow, Russia",800-1500 USD,Sunny,June,10719.39,Male,GuestHouse,['Russian'],Colleagues
Singapore,"Moscow, Russia",800-1500 USD,Cold,January,8420.71,Female,GuestHouse,['Russian'],Couple
"Sydney, Australia","Kuala Lumpur, Malaysia",800-1500 USD,Humid,July,6615.09,Female,Airbnb,"['Malay', 'English']",Friends
"Barcelona, Spain","New York, USA",1500-3000 USD,Sunny,June,6166.12,Male,Hotel,"['English', 'Spanish']",Colleagues
"Amsterdam, Netherlands","Vienna, Austria",1500-3000 USD,Sunny,June,935.45,Female,GuestHouse,['German'],Friends
"Lisbon, Portugal","London, UK",1500-3000 USD,Sunny,July,1584.99,Male,Hotel,['English'],Colleagues
"Bangkok, Thailand","Nairobi, Kenya",800-1500 USD,Sunny,January,7209.87,Male,Airbnb,"['Swahili', 'English']",Solo
"Berlin, Germany","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,576.09,Female,GuestHouse,"['Dutch', 'English']",Friends
"Moscow, Russia","Budapest, Hungary",800-1500 USD,Cold,February,1569.15,Female,Airbnb,['Hungarian'],Friends
"Amsterdam, Netherlands","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,9576.96,Female,Hotel,['Portuguese'],Couple
"Istanbul, Turkey","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,10277.43,Male,GuestHouse,['Portuguese'],Couple
"Toronto, Canada","Istanbul, Turkey",800-1500 USD,Cold,February,8191.15,Female,GuestHouse,['Turkish'],Couple
Singapore,"London, UK",1500-3000 USD,Rainy,April,10847.84,Male,GuestHouse,['English'],Couple
"Istanbul, Turkey","Barcelona, Spain",1500-3000 USD,Rainy,December,2234.15,Male,Hotel,"['Spanish', 'Catalan']",Solo
"Dubai, UAE","Toronto, Canada",1500-3000 USD,Rainy,April,11063.7,Male,GuestHouse,"['English', 'French']",Couple
"Cairo, Egypt","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,7954.96,Male,GuestHouse,"['Malay', 'English']",Solo
"Cape Town, South Africa","Dubai, UAE",1500-3000 USD,Sunny,November,7648.11,Male,GuestHouse,"['Arabic', 'English']",Family
"Lisbon, Portugal","Hanoi, Vietnam",500-800 USD,Humid,August,10538.36,Female,Hotel,['Vietnamese'],Family
"Berlin, Germany","Dubai, UAE",1500-3000 USD,Sunny,November,4619.52,Male,Airbnb,"['Arabic', 'English']",Family
"Kuala Lumpur, Malaysia","Paris, France",1500-3000 USD,Sunny,July,10424.01,Female,GuestHouse,['French'],Friends
"Vienna, Austria","Barcelona, Spain",1500-3000 USD,Sunny,June,1349.83,Female,Airbnb,"['Spanish', 'Catalan']",Couple
"Vienna, Austria","Cape Town, South Africa",800-1500 USD,Sunny,December,9135.06,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Solo
"Seoul, South Korea","New York, USA",1500-3000 USD,Rainy,April,11052.58,Male,Airbnb,"['English', 'Spanish']",Couple
"Seoul, South Korea","Bangkok, Thailand",500-800 USD,Humid,June,3722.1,Female,Airbnb,"['Thai', 'English']",Solo
"London, UK","Istanbul, Turkey",800-1500 USD,Cold,February,2500.78,Female,Hotel,['Turkish'],Friends
"Kuala Lumpur, Malaysia","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,10190.04,Female,Hotel,"['Dutch', 'English']",Solo
"Mexico City, Mexico","Hanoi, Vietnam",500-800 USD,Rainy,June,14758.15,Male,Hotel,['Vietnamese'],Friends
"Tokyo, Japan","Mexico City, Mexico",800-1500 USD,Sunny,March,11309.86,Female,Hotel,['Spanish'],Friends
"Amsterdam, Netherlands","Moscow, Russia",800-1500 USD,Rainy,September,2146.98,Male,Hotel,['Russian'],Colleagues
"Budapest, Hungary","Paris, France",1500-3000 USD,Sunny,July,1244.01,Female,Hotel,['French'],Solo
